borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,building_age
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,404,55,C2,301 EAST 10TH   STREET,10009,6,0,6,2369.0,4615.0,1900,2,C2,8000000.0,2016-11-17,116
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,406,32,C4,210 AVENUE B,10009,8,0,8,1750.0,4226.0,1920,2,C4,3192840.0,2016-09-23,96
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,391,19,S3,624 EAST 9TH   STREET,10009,3,1,4,1520.0,3360.0,1910,2,S3,3300000.0,2016-11-15,106
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,394,5,S5,183 AVENUE B,10009,5,1,6,1779.0,3713.0,1910,2,S5,4750000.0,2017-04-03,107
1,ALPHABET CITY,22 STORE BUILDINGS                         ,4,390,34,K4,115 AVENUE C,10009,0,1,1,1218.0,3586.0,1899,4,K4,3700000.0,2016-09-28,117
1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,771,52,A9,224 WEST 22ND   STREET,10011,1,0,1,1975.0,3855.0,1901,1,A9,7425000.0,2016-12-30,115
1,CHELSEA,03 THREE FAMILY DWELLINGS                  ,1,719,67,C0,444 WEST 22ND STREET,10011,3,0,3,2469.0,3725.0,1901,1,C0,8300000.0,2017-02-02,116
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,696,37,C4,253 10TH   AVENUE,10001,6,1,7,1463.0,3762.0,1901,2,C4,16000000.0,2016-09-08,115
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2A,722,6,C3,459 WEST 24TH   STREET,10011,4,0,4,2057.0,2890.0,1910,2,C3,5950000.0,2016-10-26,106
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2,743,56,C5,318 WEST 20TH STREET,10011,24,0,24,2307.0,4500.0,1900,2,C5,7375000.0,2017-02-06,117
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2A,745,63,C3,348 WEST 22ND STREET,10011,4,0,4,2057.0,3042.0,1900,2,C3,8000000.0,2017-02-06,117
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,790,63,C1,148 WEST 15TH   STREET,10011,8,0,8,2000.0,4100.0,1910,2,C1,3485000.0,2016-12-05,106
1,CHELSEA,14 RENTALS - 4-10 UNIT                     ,2A,769,69,S9,192 8 AVENUE,10011,4,2,6,2500.0,4447.0,1910,2,S9,8250000.0,2016-12-16,106
1,CHELSEA,21 OFFICE BUILDINGS                        ,4,692,63,O2,558 WEST 21ST STREET,10011,0,3,3,1360.0,4080.0,1900,4,O2,17300000.0,2017-06-30,117
